Nome,Voto_Effetto,Voto_Sapore,Caratteristiche Principali
"Ashwagandha, Ilex Guayasa, Rodiola Rosea",0,0,
"Ashwagandha, Ilex Guayasa, Té nero",0,0,
"Ashwagandha, Ilex Guayasa, Té verde",0,0,
"Ashwagandha, Ilex Guayasa, Yerba Mate",0,0,
"Ashwagandha, Moringa, Rodiola Rosea",0,0,
"Ashwagandha, Moringa, Té nero",0,0,
"Ashwagandha, Moringa, Té verde",0,0,
"Ashwagandha, Moringa, Yerba Mate",0,0,
"Ashwagandha, Rodiola Rosea, Té nero",0,0,
"Ashwagandha, Rodiola Rosea, Té verde",0,0,
"Ashwagandha, Rodiola Rosea, Yerba Mate",0,0,
"Ashwagandha, Té nero, Té verde",0,0,
"Ashwagandha, Té nero, Yerba Mate",0,0,
"Ashwagandha, Té verde, Yerba Mate",0,0,
"Bacopa, Bobinsana, Efedra",0,0,
"Bacopa, Bobinsana, Fagiolo Vellutato",0,0,
"Bacopa, Bobinsana, Ginkgo Biloba",0,0,
"Bacopa, Bobinsana, Ginseng",0,0,
"Bacopa, Bobinsana, Ilex Guayasa",0,0,
"Bacopa, Bobinsana, Moringa",0,0,
"Bacopa, Bobinsana, Rodiola Rosea",0,0,
"Bacopa, Bobinsana, Té nero",0,0,
"Bacopa, Bobinsana, Té verde",0,0,
"Bacopa, Bobinsana, Yerba Mate",0,0,
"Bacopa, Efedra, Fagiolo Vellutato",0,0,
"Bacopa, Efedra, Ginkgo Biloba",0,0,
"Bacopa, Efedra, Ginseng",0,0,
"Bacopa, Efedra, Ilex Guayasa",0,0,
"Bacopa, Efedra, Moringa",0,0,
"Bacopa, Efedra, Rodiola Rosea",0,0,
"Bacopa, Efedra, Té nero",0,0,
"Bacopa, Efedra, Té verde",0,0,
"Bacopa, Efedra, Yerba Mate",0,0,
"Bacopa, Fagiolo Vellutato, Ginkgo Biloba",0,0,
"Bacopa, Fagiolo Vellutato, Ginseng",0,0,
"Bacopa, Fagiolo Vellutato, Ilex Guayasa",0,0,
"Bacopa, Fagiolo Vellutato, Moringa",0,0,
"Bacopa, Fagiolo Vellutato, Rodiola Rosea",0,0,
"Bacopa, Fagiolo Vellutato, Té nero",0,0,
"Bacopa, Fagiolo Vellutato, Té verde",0,0,
"Bacopa, Fagiolo Vellutato, Yerba Mate",0,0,
"Bacopa, Ginkgo Biloba, Ginseng",0,0,
"Bacopa, Ginkgo Biloba, Ilex Guayasa",0,0,
"Bacopa, Ginkgo Biloba, Moringa",0,0,
